"Time,sec",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,IslAv
0.491067227,60.229,33.948,76.299,69.725,67.396,99.135,84.381,81.528,75.471,85.705,92.943,87.376,107.796,116.208,71.169,53.29,91.808,95.875,66.667,78.552,79.429,88.152,82.339,94.031,86.16,76.377,79.729,94.928,55.845,82.027,108.366,66.415,64.297,46.683,92.872,94.687,106.743,85.15,70.483,87.303,69.743,101.174,85.142,94.304,78.618,79.727,67.658,102.089,93.149,81.819
0.982134454,64.804,32.737,77.532,79.14,70.529,101.137,83.053,85.059,78.055,87.991,97.962,85.071,107.08,115.38,72.014,60.952,96.368,93.584,68.584,73.888,80.152,87.963,85.132,96.96,92.992,80.671,81.389,93.955,54.068,81.395,108.092,63.518,61.752,47.466,91.063,94.97,106.917,82.167,70.207,89.517,75.726,95.143,86.375,94.309,79.513,78.546,66.502,101.016,101.113,82.847
1.473201681,63.69,33.776,74.926,70.953,69.351,97.929,84.18,82.509,75.1,84.069,97.177,84.017,104.247,113.272,74.165,57.625,94.229,90.774,66.902,70.998,73.134,89.334,81.216,89.969,89.546,77.141,76.875,91.526,54.216,76.015,100.931,67.49,69.326,46.645,89.71,93.674,101.983,81.876,73.348,84.786,69.373,98.179,81.517,93.595,77.943,79.988,66.517,96.19,94.27,80.739
1.964268908,63.27,33.224,76.807,71.69,70.74,95.308,84.721,86.674,73.664,86.456,98.852,86.172,109.154,112.041,73.553,57.665,92.737,90.13,68.732,69.845,76.154,86.54,83.14,90.989,88.615,77.846,83.424,90.277,56.493,78.557,102.896,63.193,62.584,47.269,92.257,95.425,106.015,84.411,73.21,84.119,68.237,99.054,82.582,92.861,80.174,77.137,66.272,97.33,96.146,81.319
2.455336134,60.319,34.988,73.479,73.433,69.097,96.988,82.897,82.135,78.729,86.394,96.814,84.227,107.407,116.683,74.526,55.19,94.82,91.66,68.104,75.074,78.83,91.744,80.855,89.486,87.737,77.326,75.979,90.852,52.902,81.317,108.867,66.901,65.114,49.307,89.776,93.893,101.668,79.624,70.225,87.078,73.394,98.355,85.552,91.897,81.899,78.285,64.07,104.478,95.205,81.542
2.946403361,65.294,33.175,77.518,74.018,70.258,96.461,83.683,86.349,78.177,88.836,95.801,81.078,106.304,112.143,71.793,55.112,91.353,91.716,66.132,72.552,78.525,89.561,82.792,88.951,88.385,74.315,73.486,91.878,52.293,81.048,103.617,63.882,63.745,47.549,91.573,91.129,106.382,84.007,73.385,84.05,68.937,93.203,84.665,90.729,78.603,75.657,65.931,101.133,94.631,80.853
3.437470588,64.552,34.692,78.296,75.497,70.052,97.114,82.372,83.918,74.635,88.893,94.712,82.088,102.214,113.05,72.565,56.855,90.358,91.966,66.241,73.46,76.67,88.783,80.882,93.154,87.538,78.382,75.083,91.645,53.063,78.542,103.461,65.236,63.328,45.284,86.677,92.133,103.886,82.439,67.517,83.47,72.869,95.286,83.694,91.265,79.925,76.609,64.168,100.451,93.128,80.573
3.928537815,65.399,34.16,78.206,73.129,67.795,98.695,78.438,83.008,79.392,86.729,98.445,84.275,103.471,112.905,72.464,60.714,91.866,92.598,67.423,74.716,72.004,92.158,84.919,93.225,86.832,78.933,76.965,88.305,51.046,78.5,111.98,67.981,62.791,44.203,88.876,96.781,104.574,81.402,73.398,85.264,70.801,98.429,83.441,88.193,77.826,76.452,63.802,101.039,97.811,81.26
4.419605042,61.254,33.729,73.512,76.363,65.418,91.898,84.457,86.385,76.808,88.968,96.863,84.042,102.181,114.916,71.013,54.941,92.568,88.855,67.238,74.706,77.556,89.105,85.394,90.739,94.893,78.158,83.326,90.558,52.69,76.336,103.677,67.662,66.377,45.549,84.913,91.908,103.107,84.008,71.828,83.026,75.581,96.694,86.036,93.003,82.391,76.081,66.585,101.897,91.652,81.16
4.910672269,64.534,32.749,76.176,75.31,70.27,100.598,81.082,85.667,77.798,85.344,96.244,78.901,110.776,111.131,73.043,59.026,91.629,93.971,66.981,73.712,76.654,84.885,83.613,88.646,89.656,76.613,77.667,93.269,53.9,82.426,105.504,65.664,63.299,45.125,88.996,95.727,107.949,81.857,73.643,86.136,70.892,96.053,81.992,84.863,74.268,81.407,68.226,106.291,95.75,81.345
